CategoryID,DatasetName,ModelName,FoldName,TrainRows,EvaluationRows,TrainStart,TrainEnd,EvaluationStart,EvaluationEnd,FeatureCount,MAE,RMSE,MAPE,R2
2,UberX,Lasso,fold_1,27535,7647,2021-11-01,2022-01-11,2022-01-19,2022-02-15,35,8.122824446630826,14.546523599625417,32.23639581975012,0.6297917039419394
2,UberX,Lasso,fold_2,33773,8940,2021-11-01,2022-02-08,2022-02-16,2022-03-15,35,9.857984757012714,18.659268309303005,29.34503839557009,0.5140832770805219
2,UberX,Lasso,fold_3,41871,12896,2021-11-01,2022-03-08,2022-03-16,2022-04-12,35,6.8828908409202185,12.894177860173533,19.590499245981345,0.7771674524857923
2,UberX,Lasso,fold_4,54095,15752,2021-11-01,2022-04-05,2022-04-13,2022-05-10,35,7.1132387329600135,13.0997985580842,20.015378379853114,0.772381539134902
2,UberX,LinearRegression,fold_1,27535,7647,2021-11-01,2022-01-11,2022-01-19,2022-02-15,35,8.135379108223239,14.558706430051362,32.30758887603335,0.6291713394238744
2,UberX,LinearRegression,fold_2,33773,8940,2021-11-01,2022-02-08,2022-02-16,2022-03-15,35,9.913545556719221,18.750542112111816,29.57749228162589,0.509317823110912
2,UberX,LinearRegression,fold_3,41871,12896,2021-11-01,2022-03-08,2022-03-16,2022-04-12,35,6.890625134912863,12.89651402058983,19.624126207625427,0.777086699801729
2,UberX,LinearRegression,fold_4,54095,15752,2021-11-01,2022-04-05,2022-04-13,2022-05-10,35,7.121968377361764,13.110916861207738,20.055276093646278,0.7719949980751145
2,UberX,Ridge,fold_1,27535,7647,2021-11-01,2022-01-11,2022-01-19,2022-02-15,35,8.136640649666557,14.557690749761669,32.31504018620797,0.6292230789413995
2,UberX,Ridge,fold_2,33773,8940,2021-11-01,2022-02-08,2022-02-16,2022-03-15,35,9.90620442443863,18.734579364893822,29.55486026747749,0.5101529244599969
2,UberX,Ridge,fold_3,41871,12896,2021-11-01,2022-03-08,2022-03-16,2022-04-12,35,6.890169677258062,12.89673954253796,19.621949181180977,0.7770789035428023
2,UberX,Ridge,fold_4,54095,15752,2021-11-01,2022-04-05,2022-04-13,2022-05-10,35,7.1215299777440455,13.109846738556683,20.05397586387942,0.7720322164271549
4,Uber Black,Lasso,fold_1,8052,2604,2021-11-01,2022-01-11,2022-01-19,2022-02-15,30,9.90298624300086,14.734845564843013,25.233891548010046,0.8578072194688067
4,Uber Black,Lasso,fold_2,10093,3342,2021-11-01,2022-02-08,2022-02-16,2022-03-15,30,9.285764743831953,13.52012564101251,22.061545372608165,0.8650292822322463
4,Uber Black,Lasso,fold_3,12992,5873,2021-11-01,2022-03-08,2022-03-16,2022-04-12,30,10.157010948242654,15.081315405431571,20.5879550396685,0.8528808615069196
4,Uber Black,Lasso,fold_4,18541,6238,2021-11-01,2022-04-05,2022-04-13,2022-05-10,30,10.309211830028659,15.317052849233317,20.17774990809477,0.8653313344807154
4,Uber Black,LinearRegression,fold_1,8052,2604,2021-11-01,2022-01-11,2022-01-19,2022-02-15,30,9.904968743167027,14.75431057409187,25.22559216951012,0.8574312926328859
4,Uber Black,LinearRegression,fold_2,10093,3342,2021-11-01,2022-02-08,2022-02-16,2022-03-15,30,9.269368585995053,13.524229696989583,21.907428296410927,0.8649473286367738
4,Uber Black,LinearRegression,fold_3,12992,5873,2021-11-01,2022-03-08,2022-03-16,2022-04-12,30,10.161935189605018,15.089764479700401,20.588076959225756,0.8527159728767696
4,Uber Black,LinearRegression,fold_4,18541,6238,2021-11-01,2022-04-05,2022-04-13,2022-05-10,30,10.312603284967516,15.319965906103764,20.208034562634545,0.8652801059853229
4,Uber Black,Ridge,fold_1,8052,2604,2021-11-01,2022-01-11,2022-01-19,2022-02-15,30,9.910428066840357,14.688665235889337,25.35733955211541,0.8586971126591947
4,Uber Black,Ridge,fold_2,10093,3342,2021-11-01,2022-02-08,2022-02-16,2022-03-15,30,9.269075290523485,13.480131815633712,22.099639818548862,0.8658266137907584
4,Uber Black,Ridge,fold_3,12992,5873,2021-11-01,2022-03-08,2022-03-16,2022-04-12,30,10.158319586722003,15.082538582835726,20.595681667849057,0.8528569962009213
4,Uber Black,Ridge,fold_4,18541,6238,2021-11-01,2022-04-05,2022-04-13,2022-05-10,30,10.315492280390654,15.320242697767126,20.17601482423311,0.8652752378699966
9,Uber Comfort,Lasso,fold_1,14563,5536,2021-11-01,2022-01-11,2022-01-19,2022-02-15,31,5.486131344455998,8.170496116743418,15.734520539904128,0.9472520182366264
9,Uber Comfort,Lasso,fold_2,18980,6580,2021-11-01,2022-02-08,2022-02-16,2022-03-15,31,5.191029479061384,8.644848511597749,11.99014682687486,0.9417237791143918
9,Uber Comfort,Lasso,fold_3,24772,10979,2021-11-01,2022-03-08,2022-03-16,2022-04-12,31,5.946230294061878,10.037875274441156,11.854515464829815,0.9255358152692721
9,Uber Comfort,Lasso,fold_4,35107,11063,2021-11-01,2022-04-05,2022-04-13,2022-05-10,31,5.7611917414141445,9.978102739110058,11.814185319240304,0.9305406465821645
9,Uber Comfort,LinearRegression,fold_1,14563,5536,2021-11-01,2022-01-11,2022-01-19,2022-02-15,31,5.5019775461057145,8.184679668442373,15.801437019777353,0.9470687238335879
9,Uber Comfort,LinearRegression,fold_2,18980,6580,2021-11-01,2022-02-08,2022-02-16,2022-03-15,31,5.20768294189995,8.662610732706078,12.045658561115248,0.9414840574989222
9,Uber Comfort,LinearRegression,fold_3,24772,10979,2021-11-01,2022-03-08,2022-03-16,2022-04-12,31,5.935306107219701,9.855024536111683,11.866225329020644,0.9282239972308733
