,WaitingTime,Price,Selected,RideReasonSelectedEstimativeID,Fee,RideStatusID,CompanyID,RidePrice,TotalUsers,ProductProviderID,CategoryID,OriginLat,OriginLng,DestinationLat,DestinationLng
WaitingTime,1.0,0.029589,-0.011956,-0.028407,0.007041,-0.018885,-0.087989,0.00957,-0.013225,0.059342,0.00132,0.018899,-0.047257,0.018918,-0.046707
Price,0.029589,1.0,-0.035755,0.015441,-0.001893,0.031076,0.007071,0.833082,0.008535,0.057286,0.005883,-0.01902,0.003904,-0.019347,0.002159
Selected,-0.011956,-0.035755,1.0,,-0.001237,-0.026149,-0.019626,0.011592,-0.010576,0.017108,-0.340797,0.02331,-0.006527,0.023347,-0.006342
RideReasonSelectedEstimativeID,-0.028407,0.015441,,1.0,-0.031423,-0.021695,-0.053253,0.015447,-0.007726,0.175688,0.058154,0.04649,-0.025108,0.046483,-0.025127
Fee,0.007041,-0.001893,-0.001237,-0.031423,1.0,-0.010583,0.118716,-0.002237,0.0039,-0.033096,0.014867,0.000582,0.001773,0.000785,0.00172
RideStatusID,-0.018885,0.031076,-0.026149,-0.021695,-0.010583,1.0,0.011291,0.010414,0.086464,0.002268,0.032564,-0.051974,-0.028174,-0.051938,-0.028299
CompanyID,-0.087989,0.007071,-0.019626,-0.053253,0.118716,0.011291,1.0,0.020627,0.114247,-0.027931,0.060461,-0.033848,-0.041497,-0.033501,-0.041339
RidePrice,0.00957,0.833082,0.011592,0.015447,-0.002237,0.010414,0.020627,1.0,0.010187,0.020813,-0.000163,-0.012961,0.003822,-0.015354,0.002803
TotalUsers,-0.013225,0.008535,-0.010576,-0.007726,0.0039,0.086464,0.114247,0.010187,1.0,0.004676,0.017225,-0.033606,-0.021348,-0.033397,-0.021285
ProductProviderID,0.059342,0.057286,0.017108,0.175688,-0.033096,0.002268,-0.027931,0.020813,0.004676,1.0,-0.365072,-0.004746,-0.027576,-0.004774,-0.027514
CategoryID,0.00132,0.005883,-0.340797,0.058154,0.014867,0.032564,0.060461,-0.000163,0.017225,-0.365072,1.0,-0.013661,0.005046,-0.013712,0.004891
OriginLat,0.018899,-0.01902,0.02331,0.04649,0.000582,-0.051974,-0.033848,-0.012961,-0.033606,-0.004746,-0.013661,1.0,0.275867,0.9992,0.275787
OriginLng,-0.047257,0.003904,-0.006527,-0.025108,0.001773,-0.028174,-0.041497,0.003822,-0.021348,-0.027576,0.005046,0.275867,1.0,0.27585,0.999211
DestinationLat,0.018918,-0.019347,0.023347,0.046483,0.000785,-0.051938,-0.033501,-0.015354,-0.033397,-0.004774,-0.013712,0.9992,0.27585,1.0,0.276033
DestinationLng,-0.046707,0.002159,-0.006342,-0.025127,0.00172,-0.028299,-0.041339,0.002803,-0.021285,-0.027514,0.004891,0.275787,0.999211,0.276033,1.0
