ModelProduct,FeatureName,FeatureRole,available_rows,available_pct
Black,Price_Comfort,auxiliary_input,118450,95.7737
Black,Price_UberX,auxiliary_input,123604,99.941
Black,Both auxiliary prices,auxiliary_pair,118418,95.7478
Black,Price_Black,target_equivalent,123677,100.0
Comfort,Price_Black,auxiliary_input,118450,61.3788
Comfort,Price_UberX,auxiliary_input,192794,99.9026
Comfort,Both auxiliary prices,auxiliary_pair,118418,61.3622
Comfort,Price_Comfort,target_equivalent,192982,100.0
UberX,Price_Black,auxiliary_input,123613,52.4375
UberX,Price_Comfort,auxiliary_input,192810,81.7913
UberX,Both auxiliary prices,auxiliary_pair,118427,50.2376
UberX,Price_UberX,target_equivalent,235734,100.0
