metric,value
source_rows,2000000.0
rows_written,1999782.0
rows_removed_total,218.0
retention_pct,99.9891
duplicate_rideestimative_rows_removed,0.0
exact_duplicate_rows_removed,0.0
invalid_create_or_schedule_rows_removed,0.0
updated_before_create_rows_removed,0.0
schedule_create_gap_gt_5m_rows_removed,0.0
missing_coordinate_rows_removed,215.0
nonpositive_price_rows_removed,3.0
fareid_sentinel_imputations,818007.0
waitingtime_median_imputations,0.0
fee_median_imputations,0.0
totalusers_median_imputations,0.0
waiting_time_rows_capped,12591.0
price_rows_capped,9981.0
