CategoryID,DatasetName,ModelName,Phase,TrialNumber,FoldName,TrainRows,EvaluationRows,TrainStart,TrainEnd,EvaluationStart,EvaluationEnd,FeatureCount,NumBoostRound,MAE,RMSE,MAPE,R2
2,UberX,LightGBM,default,,fold_1,27535,7647,2021-11-01,2022-01-11,2022-01-19,2022-02-15,35,100,5.817256554442961,11.60242375133296,21.131266665177147,0.7644814271693536
2,UberX,LightGBM,default,,fold_2,33773,8940,2021-11-01,2022-02-08,2022-02-16,2022-03-15,35,100,7.414288860576264,14.762732680007625,19.62017180265349,0.6958371717504142
2,UberX,LightGBM,default,,fold_3,41871,12896,2021-11-01,2022-03-08,2022-03-16,2022-04-12,35,100,6.098184125830983,10.325356785150866,18.727266708617755,0.8571101280744104
2,UberX,LightGBM,default,,fold_4,54095,15752,2021-11-01,2022-04-05,2022-04-13,2022-05-10,35,100,5.886469645132353,10.81741151956997,15.452938569655144,0.8447881230296377
2,UberX,LightGBM,tuned,12.0,fold_1,27535,7647,2021-11-01,2022-01-11,2022-01-19,2022-02-15,35,350,5.713712698590054,11.499044323229072,20.699450048649346,0.7686597444976265
2,UberX,LightGBM,tuned,12.0,fold_2,33773,8940,2021-11-01,2022-02-08,2022-02-16,2022-03-15,35,350,6.552351900206056,13.149513669724168,17.86959973264679,0.7586807270803225
2,UberX,LightGBM,tuned,12.0,fold_3,41871,12896,2021-11-01,2022-03-08,2022-03-16,2022-04-12,35,350,5.548596487203107,10.173543370170018,15.648209019362133,0.8612810496314782
2,UberX,LightGBM,tuned,12.0,fold_4,54095,15752,2021-11-01,2022-04-05,2022-04-13,2022-05-10,35,350,5.890359969801087,10.90589986709945,16.177954584457517,0.8422384155372911
4,Uber Black,LightGBM,default,,fold_1,8052,2604,2021-11-01,2022-01-11,2022-01-19,2022-02-15,30,100,6.213695440071208,10.758756257081505,11.376192390038522,0.924192791066525
4,Uber Black,LightGBM,default,,fold_2,10093,3342,2021-11-01,2022-02-08,2022-02-16,2022-03-15,30,100,5.847502102647667,9.480941806028712,11.697584879498125,0.9336285868908628
4,Uber Black,LightGBM,default,,fold_3,12992,5873,2021-11-01,2022-03-08,2022-03-16,2022-04-12,30,100,6.8963328837493,11.449502605174377,11.51436540294417,0.9152062254409734
4,Uber Black,LightGBM,default,,fold_4,18541,6238,2021-11-01,2022-04-05,2022-04-13,2022-05-10,30,100,6.469935046960374,10.712081491342898,11.250526584344676,0.9341336085827532
4,Uber Black,LightGBM,tuned,11.0,fold_1,8052,2604,2021-11-01,2022-01-11,2022-01-19,2022-02-15,30,350,5.690774602449197,9.499804982675387,11.170163860105644,0.940896152951431
4,Uber Black,LightGBM,tuned,11.0,fold_2,10093,3342,2021-11-01,2022-02-08,2022-02-16,2022-03-15,30,350,6.0937859797420595,9.5553929279439,12.638969307771875,0.9325821026758696
4,Uber Black,LightGBM,tuned,11.0,fold_3,12992,5873,2021-11-01,2022-03-08,2022-03-16,2022-04-12,30,350,6.948595439152716,11.338993217549081,11.799806206809677,0.9168351672118433
4,Uber Black,LightGBM,tuned,11.0,fold_4,18541,6238,2021-11-01,2022-04-05,2022-04-13,2022-05-10,30,350,6.665425710395637,10.742359703353465,11.846812751254827,0.9337607333239126
9,Uber Comfort,LightGBM,default,,fold_1,14563,5536,2021-11-01,2022-01-11,2022-01-19,2022-02-15,31,100,3.557592438195637,6.162325442454391,8.144318472408305,0.9699946807238524
9,Uber Comfort,LightGBM,default,,fold_2,18980,6580,2021-11-01,2022-02-08,2022-02-16,2022-03-15,31,100,3.9842408287084066,7.046486245773568,8.487641267538239,0.9612812058507456
9,Uber Comfort,LightGBM,default,,fold_3,24772,10979,2021-11-01,2022-03-08,2022-03-16,2022-04-12,31,100,4.909277294468281,8.924839192465852,8.90741727915931,0.9411339834241297
9,Uber Comfort,LightGBM,default,,fold_4,35107,11063,2021-11-01,2022-04-05,2022-04-13,2022-05-10,31,100,4.1484135196899965,7.735872897286559,7.799414582822338,0.9582502917750829
9,Uber Comfort,LightGBM,tuned,12.0,fold_1,14563,5536,2021-11-01,2022-01-11,2022-01-19,2022-02-15,31,300,3.722586524050497,6.348340785223326,8.699111345731543,0.9681558650538902
9,Uber Comfort,LightGBM,tuned,12.0,fold_2,18980,6580,2021-11-01,2022-02-08,2022-02-16,2022-03-15,31,300,4.087061790060676,7.076233971876635,9.017629335285775,0.9609536021977552
9,Uber Comfort,LightGBM,tuned,12.0,fold_3,24772,10979,2021-11-01,2022-03-08,2022-03-16,2022-04-12,31,300,4.932207403284684,8.676036686798179,9.338478646374181,0.94437031401981
9,Uber Comfort,LightGBM,tuned,12.0,fold_4,35107,11063,2021-11-01,2022-04-05,2022-04-13,2022-05-10,31,300,4.045328162440065,7.58987955261206,7.71466955709845,0.9598112441692576
