date,unique_rides,estimative_rows,mean_price,median_price,p95_price,weekday,month,unique_rides_7d_ma,mean_price_14d_ma
2021-08-17,2499,20117,34.329750956902124,22.68,90.0,Tuesday,2021-08,2499.0,34.329750956902124
2021-08-18,3266,25683,38.01737958961181,25.73,107.82599999999991,Wednesday,2021-08,2882.5,36.17356527325697
2021-08-19,3258,25599,32.7894796671745,23.27,88.0,Thursday,2021-08,3007.6666666666665,35.04553673789614
2021-08-20,3493,27192,38.205183509855836,26.0,111.44449999999998,Friday,2021-08,3129.0,35.83544843088607
2021-08-21,2101,16441,38.06098777446627,27.5,101.0,Saturday,2021-08,2923.4,36.28055629960211
2021-08-22,46,352,121.97346590909092,27.119999999999997,124.67,Sunday,2021-08,2443.8333333333335,50.56270790118358
2021-08-23,3938,29806,37.27307656176609,26.5,102.0,Monday,2021-08,2657.285714285714,48.66418913840965
2021-08-24,3327,26255,34.28451266425443,23.5,89.0,Tuesday,2021-08,2775.5714285714284,46.86672957914025
2021-08-25,3292,26429,37.091519542926335,25.0,95.18,Wednesday,2021-08,2779.285714285714,45.78059513067203
2021-08-26,3125,24738,37.796257983668845,24.5,89.5,Thursday,2021-08,2760.285714285714,44.98216141597172
2021-08-27,3382,26764,36.394127185771936,25.5,103.05,Friday,2021-08,2744.4285714285716,44.2014310314081
2021-08-28,1986,15337,39.247025493903635,27.97,97.41,Saturday,2021-08,2728.0,43.78856390328273
2021-08-29,72,616,40.61035714285714,30.77,105.66,Sunday,2021-08,2731.714285714286,43.54408646017306
2021-08-30,3780,28807,37.11610441906481,25.0,96.43,Monday,2021-08,2709.1428571428573,43.08494488580819
2021-08-31,3379,26603,33.87770589783107,24.0,91.97699999999949,Tuesday,2021-08,2716.5714285714284,43.0526559530174
2021-09-01,3301,25747,38.115183516526194,26.31,100.5,Wednesday,2021-09,2717.8571428571427,43.059641947797004
2021-09-02,3106,24672,35.86925745784695,25.0,92.76399999999964,Thursday,2021-09,2715.1428571428573,43.27962607570218
2021-09-03,3327,25743,38.871927514275725,27.64,97.5,Friday,2021-09,2707.285714285714,43.327250647446455
2021-09-04,2085,15954,39.084195812962264,29.35,101.05,Saturday,2021-09,2721.4285714285716,43.40033693591045
2021-09-05,43,318,59.79720125786163,33.96,99.9769999999999,Sunday,2021-09,2717.285714285714,38.95917517510836
2021-09-06,2884,21879,37.99986059691942,27.0,101.64,Monday,2021-09,2589.285714285714,39.01108832047646
2021-09-07,125,852,68.04261737089202,44.695,202.62499999999983,Tuesday,2021-09,2124.4285714285716,41.42238151380771
2021-09-08,3232,24402,43.19198098516515,29.5,111.5,Wednesday,2021-09,2114.5714285714284,41.85812875968191
2021-09-09,3281,25634,38.759006787859875,26.44,100.16299999999974,Thursday,2021-09,2139.5714285714284,41.926896531409845
2021-09-10,3314,25131,38.41679360152799,27.59,99.5,Friday,2021-09,2137.714285714286,42.071372703963846
2021-09-11,1916,14813,39.75057449537569,29.5,96.47,Saturday,2021-09,2113.5714285714284,42.10734048978328
2021-09-12,63,545,65.07055045871559,37.0,231.79999999999995,Sunday,2021-09,2116.4285714285716,43.854497155201734
2021-09-13,3449,26298,41.19709483610921,28.0,101.93,Monday,2021-09,2197.1428571428573,44.145996470704915
2021-09-14,3199,25190,36.41060420801905,25.38,95.5,Tuesday,2021-09,2636.285714285714,44.32691777857548
2021-09-15,3103,24541,36.01628702986838,24.5,92.09,Wednesday,2021-09,2617.8571428571427,44.17699660095707
2021-09-16,3117,24818,36.51659682488516,25.38,95.18,Thursday,2021-09,2594.4285714285716,44.22323512717408
2021-09-17,3190,24730,36.78233724221593,26.36,99.48649999999998,Friday,2021-09,2576.714285714286,44.073978679169805
2021-09-18,1914,14804,39.728062685760605,27.5,99.5,Saturday,2021-09,2576.4285714285716,44.119969170083984
2021-09-19,57,458,60.40873362445415,26.56,207.0,Sunday,2021-09,2575.5714285714284,44.16365005341201
2021-09-20,3127,23663,38.486442124836245,27.99,101.17,Monday,2021-09,2529.5714285714284,44.19840587683465
2021-09-21,3307,25953,34.17825839016684,25.0,91.5,Tuesday,2021-09,2545.0,41.779523092497136
2021-09-22,3108,24318,37.319485977465256,25.5,95.78649999999976,Wednesday,2021-09,2545.714285714286,41.36005916337571
2021-09-23,3299,26347,34.9109405245379,24.0,93.4489999999995,Thursday,2021-09,2571.714285714286,41.085197287424144
2021-09-24,3557,27438,37.317040236168815,26.5,96.6649999999998,Friday,2021-09,2624.1428571428573,41.00664347561277
2021-09-25,2063,16162,37.673854720950374,28.0,99.76,Saturday,2021-09,2645.4285714285716,40.858306348868105
2021-09-26,58,466,52.78824034334764,33.5,108.6925,Sunday,2021-09,2645.5714285714284,39.98099848348469
2021-09-27,3164,24300,37.85457242798354,26.44,96.5,Monday,2021-09,2650.8571428571427,39.742246882904276
2021-09-28,3453,27454,35.331679172433894,24.8,96.47,Tuesday,2021-09,2671.714285714286,39.66518080893392
2021-09-29,3387,26782,37.92461840041819,25.03,94.59,Wednesday,2021-09,2711.5714285714284,39.80149019254461
2021-09-30,3374,26407,37.49064301132276,24.5,95.5,Thursday,2021-09,2722.285714285714,39.8710649201473
2021-10-01,3636,27157,40.76696137275841,28.8,107.5,Friday,2021-10,2733.5714285714284,40.155680929471764
2021-10-02,2114,16340,40.573691554467565,29.5,108.69,Saturday,2021-10,2740.8571428571427,40.21608299152225
2021-10-03,60,407,41.027837837837836,32.08,104.0,Sunday,2021-10,2741.1428571428573,38.83173329247823
2021-10-04,3043,23580,37.04044826123834,27.015,100.7,Monday,2021-10,2723.8571428571427,38.72844801650695
2021-10-05,3351,26708,35.28019170286056,24.0,93.71,Tuesday,2021-10,2709.285714285714,38.80715753884222
2021-10-06,3315,27130,36.1539329155916,26.0,98.0,Wednesday,2021-10,2699.0,38.72390374870839
2021-10-07,3273,27119,36.599757365684574,26.0,100.47,Thursday,2021-10,2684.5714285714284,38.844533523076
2021-10-08,3318,26336,38.748257518226005,27.5,105.87,Friday,2021-10,2639.1428571428573,38.94676332893723
2021-10-09,2161,17164,41.664678979258916,29.67,103.04249999999992,Saturday,2021-10,2645.8571428571427,39.23182220453071
2021-10-10,55,479,37.149582463465556,25.0,117.85299999999988,Sunday,2021-10,2645.1428571428573,38.114775213110555
2021-10-11,2783,21986,36.851277176384976,26.0,94.59,Monday,2021-10,2608.0,38.0431112665678
2021-10-12,148,1226,36.090709624796084,21.825,78.14,Tuesday,2021-10,2150.4285714285716,38.09732772745081
2021-10-13,3436,27468,39.87516455511869,27.26,104.46,Wednesday,2021-10,2167.714285714286,38.236652452786565
2021-10-14,3323,27839,35.683535328136784,25.5,93.0,Thursday,2021-10,2174.8571428571427,38.10757333255899
2021-10-15,3164,25394,36.80832046940222,25.994999999999997,98.82,Friday,2021-10,2152.8571428571427,37.82481326803355
2021-10-16,1917,15766,38.32763161233033,27.62,103.0,Saturday,2021-10,2118.0,37.66438041502375
2021-10-17,139,1195,33.87160669456067,24.0,85.37,Sunday,2021-10,2130.0,37.1532210476468
2021-10-18,2657,21481,39.05100135003026,26.5,105.92,Monday,2021-10,2112.0,37.29683198256051
2021-10-19,3337,27843,36.21762705168265,24.0,96.5,Tuesday,2021-10,2567.5714285714284,37.36379165033352
2021-10-20,3071,25444,37.286499371168055,25.0,96.35,Wednesday,2021-10,2515.4285714285716,37.44468925430327
2021-10-21,3326,27799,37.96362746861397,23.39,93.91899999999987,Thursday,2021-10,2515.8571428571427,37.54210854736965
2021-10-22,3510,29057,38.600344151151184,25.0,97.5,Friday,2021-10,2565.285714285714,37.53154330686431
2021-10-23,2150,18806,39.24534935658833,28.0,99.76,Saturday,2021-10,2598.5714285714284,37.35873404810213
2021-10-24,118,987,32.282370820668696,20.0,86.6,Sunday,2021-10,2595.5714285714284,37.01107607361664
2021-10-25,3411,28944,37.47528157822001,25.5,99.41,Monday,2021-10,2703.285714285714,37.05564781660485
2021-10-26,3338,28580,34.286108817354794,23.155,93.5,Tuesday,2021-10,2703.4285714285716,36.92674775893047
2021-10-27,3117,26753,35.96743654917206,24.0,97.5,Wednesday,2021-10,2710.0,36.64762432993429
2021-10-28,3217,27504,34.33312354566608,23.69,92.69,Thursday,2021-10,2694.4285714285716,36.55116634547209
2021-10-29,3202,27026,37.36023569895656,25.75,106.0,Friday,2021-10,2650.4285714285716,36.59058886186883
2021-10-30,1870,15757,38.070864377736875,27.97,103.0,Saturday,2021-10,2610.4285714285716,36.57224834511216
2021-10-31,109,1000,40.30801,28.09,119.54149999999981,Sunday,2021-10,2609.1428571428573,37.03199143835782
2021-11-01,655,5355,56.401731092436975,26.71,152.43000000000004,Monday,2021-11,2215.4285714285716,38.27132927710115
2021-11-02,128,1152,47.97374131944444,24.5,175.17150000000004,Tuesday,2021-11,1756.857142857143,39.11105172479843
2021-11-03,591,5051,33.61707384676301,23.0,97.25,Wednesday,2021-11,1396.0,38.848949901626646
2021-11-04,668,5514,38.18068552774755,19.0,92.5,Thursday,2021-11,1031.857142857143,38.864454048707614
2021-11-05,608,5006,34.33794047143428,21.505000000000003,87.885,Friday,2021-11,661.2857142857143,38.55999664301355
2021-11-06,222,1610,32.47157142857143,24.0,86.9685,Saturday,2021-11,425.85714285714283,38.07615536244091
2021-11-07,86,683,51.38713030746706,26.5,70.03,Sunday,2021-11,422.57142857142856,39.44078104006936
2021-11-08,456,3641,37.13683328755836,22.21,84.0,Monday,2021-11,394.14285714285717,39.41660616216496
2021-11-09,555,4455,30.620184062850733,18.92,89.15000000000009,Tuesday,2021-11,455.14285714285717,39.154754393986096
2021-11-10,483,3782,38.38281332628239,19.0,76.97499999999991,Wednesday,2021-11,439.7142857142857,39.32728130663684
2021-11-11,556,4138,39.481215563073945,20.94,110.5,Thursday,2021-11,423.7142857142857,39.69500216502312
2021-11-12,436,3413,36.125736888368,21.0,97.5,Friday,2021-11,399.14285714285717,39.60682367855251
2021-11-13,154,1209,36.98962779156327,21.74,71.21799999999982,Saturday,2021-11,389.42857142857144,39.52959249382582
2021-11-14,76,639,63.544397496087626,19.0,67.605,Sunday,2021-11,388.0,41.18933445783208
2021-11-15,44,348,23.00905172413793,14.75,50.65,Monday,2021-11,329.14285714285717,38.80414307438215
2021-11-16,547,4172,56.33432406519655,25.0,167.0,Tuesday,2021-11,328.0,39.40132755622158
2021-11-17,396,3197,44.60657178604942,22.0,141.94,Wednesday,2021-11,315.57142857142856,40.186291694742046
2021-11-18,330,2590,43.94096525096525,19.62,115.59999999999945,Thursday,2021-11,283.2857142857143,40.59774024640045
2021-11-19,297,2315,32.66748164146868,20.0,100.17,Friday,2021-11,263.42857142857144,40.478421758545764
2021-11-20,56,476,17.70705882352941,14.5,37.0,Saturday,2021-11,249.42857142857142,39.42381371532848
2021-11-21,60,542,54.899464944649445,21.0,56.94499999999995,Sunday,2021-11,247.14285714285714,39.6746947608415
2021-11-22,405,3918,40.3415033180194,22.17,77.5,Monday,2021-11,298.7142857142857,39.90359976301728
2021-11-23,252,2228,50.38083034111311,26.5,113.16,Tuesday,2021-11,256.57142857142856,41.315074497178884
2021-11-24,214,1826,34.09842278203724,24.0,91.77,Wednesday,2021-11,230.57142857142858,41.00904660116138
2021-11-25,177,1656,44.30658212560386,31.5,135.53,Thursday,2021-11,208.71428571428572,41.353715641342085
2021-11-26,158,1191,50.270554156171286,38.48,135.0,Friday,2021-11,188.85714285714286,42.36405973189947
2021-11-27,37,252,47.965555555555554,34.285,116.5,Saturday,2021-11,186.14285714285714,43.14805457218462
2021-11-28,9,72,45.97138888888889,30.225,114.14000000000001,Sunday,2021-11,178.85714285714286,41.89283967167042
2021-11-29,104,875,49.25161142857142,36.5,136.0999999999999,Monday,2021-11,135.85714285714286,43.76730822198711
2021-11-30,165,1464,44.83531420765027,34.605000000000004,117.75499999999997,Tuesday,2021-11,123.42857142857143,42.945950375019514
2021-12-01,184,1476,48.39730352303523,29.5,119.0875,Wednesday,2021-12,119.14285714285714,43.216716927661366
2021-12-02,155,1249,57.15864691753402,36.5,177.5,Thursday,2021-12,116.0,44.160837046701985
2021-12-03,154,1215,53.296543209876546,41.75,133.34299999999996,Friday,2021-12,115.42857142857143,45.634341444445404
2021-12-04,36,261,183.7100766283525,38.95,150.5,Saturday,2021-12,115.28571428571429,57.49169985907563
2021-12-05,4,24,31.707083333333333,32.105000000000004,49.44499999999999,Sunday,2021-12,114.57142857142857,55.835101172553046
2021-12-06,138,1026,47.10832358674464,36.8,119.86999999999999,Monday,2021-12,119.42857142857143,56.31844547746199
2021-12-07,115,798,45.18085213032582,28.5,111.35499999999992,Tuesday,2021-12,112.28571428571429,55.947018462405765
2021-12-08,134,1286,42.98324261275272,33.385000000000005,105.75,Wednesday,2021-12,105.14285714285714,56.581648450314
2021-12-09,138,1229,57.827030105777055,40.42,192.37999999999906,Thursday,2021-12,102.71428571428571,57.5473947346121
2021-12-10,139,1259,58.30102462271645,40.25,132.2839999999999,Friday,2021-12,100.57142857142857,58.120999767936745
2021-12-11,40,299,52.339698996655514,46.59,105.87,Saturday,2021-12,101.14285714285714,58.43343858515817
2021-12-12,3,23,51.863913043478256,30.89,142.46999999999994,Sunday,2021-12,101.0,58.854333167628845
2021-12-13,102,909,49.11871287128713,30.5,135.81599999999966,Monday,2021-12,95.85714285714286,58.844840413537106
2021-12-14,161,1422,44.63386075949367,25.03,102.13300000000001,Tuesday,2021-12,102.42857142857143,58.83045088152592
2021-12-15,120,1129,106.53053144375554,28.5,171.0,Wednesday,2021-12,100.42857142857143,62.982824304434516
2021-12-16,239,2101,38.00845787720134,25.27,119.5,Thursday,2021-12,114.85714285714286,61.61495365869646
2021-12-17,145,1199,58.788532110091744,32.95,175.08,Friday,2021-12,115.71428571428571,62.0072385801404
2021-12-18,59,445,29.74766292134831,22.0,72.66799999999994,Saturday,2021-12,118.42857142857143,51.0099233153544
2021-12-19,19,123,35.296341463414635,24.0,85.53699999999996,Sunday,2021-12,120.71428571428571,51.26629889607449
2021-12-20,101,808,42.69102722772277,31.41,118.45549999999997,Monday,2021-12,120.57142857142857,50.95077772757293
2021-12-21,119,982,86.29986761710795,26.475,118.24999999999966,Tuesday,2021-12,114.57142857142857,53.88785026234307
2021-12-22,175,1235,72.52233198380567,26.5,172.0,Wednesday,2021-12,122.42857142857143,55.99778521741829
2021-12-23,148,1215,47.818090534979426,33.84,105.29999999999995,Thursday,2021-12,109.42857142857143,55.28286096236131
2021-12-24,29,210,50.72561904761904,37.25,120.99,Friday,2021-12,92.85714285714286,54.74176056414007
2021-12-25,3,22,17.030454545454546,11.5,38.0,Saturday,2021-12,84.85714285714286,52.21967167476858
2021-12-26,8,55,58.292181818181824,29.5,263.29699999999985,Sunday,2021-12,83.28571428571429,52.67883373010454
2021-12-27,69,572,42.81015734265734,24.0,99.72499999999997,Monday,2021-12,78.71428571428571,52.2282226209167
2021-12-28,76,660,26.003742424242425,18.0,69.696,Tuesday,2021-12,72.57142857142857,50.89749988268447
2021-12-29,80,684,46.05790935672515,26.41,158.4925,Wednesday,2021-12,59.0,46.57802687646801
2021-12-30,82,634,33.01824921135647,25.97,77.46,Thursday,2021-12,49.57142857142857,46.221583400336236
2021-12-31,2,9,69.07666666666667,74.5,106.49199999999999,Friday,2021-12,45.714285714285715,46.9564501543773
2022-01-01,7,54,22.913148148148146,20.0,41.218999999999994,Saturday,2022-01,46.285714285714285,46.46827052772014
2022-01-02,8,71,63.71183098591549,57.46,178.31,Sunday,2022-01,46.285714285714285,48.49794835075592
2022-01-03,125,1075,42.213497674418605,30.5,110.79999999999995,Monday,2022-01,54.285714285714285,48.46383909694848
2022-01-04,130,1048,35.645648854961834,25.93,84.923,Tuesday,2022-01,62.0,44.84568061393805
2022-01-05,126,1047,32.42953199617956,17.0,100.90999999999998,Wednesday,2022-01,68.57142857142857,41.98190918625047
2022-01-06,114,1009,46.191427155599605,21.0,90.62799999999991,Thursday,2022-01,73.14285714285714,41.8657189448662
2022-01-07,97,793,24.310226986128622,17.98,62.799999999999955,Friday,2022-01,86.71428571428571,39.9789052261883
2022-01-08,30,269,39.93728624535316,34.22,83.0,Saturday,2022-01,90.0,41.61510749046678
2022-01-09,6,46,15.94391304347826,11.675,37.025,Sunday,2022-01,89.71428571428571,38.590231149416525
2022-01-10,102,802,40.56971321695761,19.86,104.46,Monday,2022-01,86.42857142857143,38.43019942615225
2022-01-11,90,781,34.318668373879646,22.33,97.88,Tuesday,2022-01,80.71428571428571,39.024122708269196
2022-01-12,76,728,44.136373626373626,30.5,97.00649999999997,Wednesday,2022-01,73.57142857142857,38.88687015610123
2022-01-13,67,618,52.910307443365696,24.96,116.86849999999987,Thursday,2022-01,66.85714285714286,40.30773145838761
2022-01-14,67,712,65.73816011235955,39.0,227.34,Friday,2022-01,62.57142857142857,40.06926670450853
2022-01-15,3,35,34.42771428571429,31.5,60.599999999999966,Saturday,2022-01,58.714285714285715,40.891735714334686
2022-01-16,6,70,50.72142857142857,46.0,81.43,Sunday,2022-01,58.714285714285715,39.96384982758561
2022-01-17,59,641,25.54145085803432,21.0,60.75,Monday,2022-01,52.57142857142857,38.77298934070103
2022-01-18,86,919,36.29019586507073,25.0,101.01899999999998,Tuesday,2022-01,52.0,38.81902841285166
2022-01-19,99,1017,25.98652900688299,18.0,67.872,Wednesday,2022-01,55.285714285714285,38.358813913616196
2022-01-20,76,650,40.06183076923077,24.0,116.36949999999999,Thursday,2022-01,56.57142857142857,37.92098560030413
2022-01-21,94,964,45.12881742738589,19.33,113.5,Friday,2022-01,60.42857142857143,39.408027774679645
2022-01-22,20,184,22.095815217391305,16.525,56.35549999999998,Saturday,2022-01,62.857142857142854,38.13363698696809
2022-01-23,13,177,42.61717514124294,39.0,71.5,Sunday,2022-01,63.857142857142854,40.03886999395128
2022-01-24,124,1242,28.03855877616747,19.965,72.85,Monday,2022-01,73.14285714285714,39.143787533894844
2022-01-25,103,1026,27.73699805068226,22.0,59.34,Tuesday,2022-01,75.57142857142857,38.67366822509503
2022-01-26,194,1960,33.3645612244898,23.0,90.5,Wednesday,2022-01,89.14285714285714,37.904253053531896
2022-01-27,190,1796,35.56139198218263,21.38,117.84,Thursday,2022-01,105.42857142857143,36.665044806304536
2022-01-28,194,1753,34.07367940673132,21.62,107.79999999999973,Friday,2022-01,119.71428571428571,34.403296184473945
2022-01-29,62,535,30.132392523364487,19.0,91.8729999999997,Saturday,2022-01,125.71428571428571,34.09648748716325
2022-01-30,32,341,64.55879765395895,34.5,184.0,Sunday,2022-01,128.42857142857142,35.084870993058274
2022-01-31,178,1722,49.1268931475029,25.0,115.29549999999966,Monday,2022-01,136.14285714285714,36.76954544230603
2022-02-01,280,2869,51.39597420704078,29.61,125.61,Tuesday,2022-02,161.42857142857142,37.848529609589605
2022-02-02,238,2464,38.96294642857143,26.625,113.10649999999983,Wednesday,2022-02,167.71428571428572,38.775416568281635
2022-02-03,200,2019,36.16163942545815,25.53,96.5,Thursday,2022-02,169.14285714285714,38.49683147229788
2022-02-04,199,2103,45.68041369472183,30.08,121.85,Friday,2022-02,169.85714285714286,38.536231205679016
2022-02-05,72,646,42.99431888544892,25.85,131.9075,Saturday,2022-02,171.28571428571428,40.02898146768313
2022-02-06,28,272,46.60797794117647,35.370000000000005,123.52499999999995,Sunday,2022-02,170.71428571428572,40.31403881053553
2022-02-07,146,1419,38.90096546863989,28.5,110.09999999999991,Monday,2022-02,166.14285714285714,41.089925002854976
2022-02-08,244,2417,47.38853123707075,33.5,131.72,Tuesday,2022-02,161.0,42.493605944739876
2022-02-09,209,2230,31.330152466367714,24.56,75.5,Wednesday,2022-02,156.85714285714286,42.34829103344544
2022-02-10,245,2484,48.24107085346216,36.5,114.45649999999998,Thursday,2022-02,163.28571428571428,43.25398238139398
2022-02-11,141,1503,56.079980039920166,39.84,163.04699999999963,Friday,2022-02,155.0,44.825860998050324
2022-02-12,37,368,36.73573369565217,23.0,107.70299999999993,Saturday,2022-02,150.0,45.297528224642306
2022-02-13,24,217,50.82668202764977,41.0,99.72799999999992,Sunday,2022-02,149.42857142857142,44.31666282276308
2022-02-14,175,1665,39.14902102102102,25.5,112.31,Monday,2022-02,153.57142857142858,43.603957670871516
2022-02-15,250,2617,38.49537256400458,26.0,93.77999999999983,Tuesday,2022-02,154.42857142857142,42.68248612494036
2022-02-16,245,2641,37.82491480499811,27.5,103.52,Wednesday,2022-02,159.57142857142858,42.60119815182798
2022-02-17,260,2814,45.28769012082445,31.07,129.0,Thursday,2022-02,161.71428571428572,43.25305891578272
2022-02-18,211,2250,34.73452444444444,25.0,90.00899999999979,Friday,2022-02,171.71428571428572,42.471209683620046
2022-02-19,30,332,38.85698795180723,19.990000000000002,157.02499999999995,Saturday,2022-02,170.71428571428572,42.175686045502786
2022-02-20,15,145,35.85896551724138,26.8,101.09999999999992,Sunday,2022-02,169.42857142857142,41.407899443793134
2022-02-21,190,1847,34.82772062804548,24.09,103.05,Monday,2022-02,171.57142857142858,41.11695338375067
2022-02-22,222,2307,31.86592977893368,23.74,80.4469999999998,Tuesday,2022-02,167.57142857142858,40.008196136740885
2022-02-23,232,2623,45.60436904308044,30.2,98.30000000000018,Wednesday,2022-02,165.71428571428572,41.027783035077505
2022-02-24,217,2322,35.74975452196382,27.0,89.87249999999993,Thursday,2022-02,159.57142857142858,40.1355461542562
2022-02-25,177,1831,36.06079191698525,27.5,92.095,Friday,2022-02,154.71428571428572,38.705604145475135
2022-02-26,29,280,42.747392857142856,31.240000000000002,117.07500000000013,Saturday,2022-02,154.57142857142858,39.135008371295896
2022-02-27,9,81,69.52987654320988,53.5,219.26,Sunday,2022-02,153.71428571428572,40.47095083669304
2022-02-28,25,210,29.412333333333333,21.5,66.98,Monday,2022-02,130.14285714285714,39.775473144715356
2022-03-01,17,173,59.392369942196524,43.0,158.04,Tuesday,2022-03,100.85714285714286,41.26811581458621
2022-03-02,49,537,34.75396648044693,25.0,92.69999999999999,Wednesday,2022-03,74.71428571428571,41.048762362832555
2022-03-03,123,1475,43.55572881355932,27.5,88.269,Thursday,2022-03,61.285714285714285,40.92505084088504
2022-03-04,90,1009,51.317482656095144,28.5,103.39999999999986,Friday,2022-03,48.857142857142854,42.10954785600295
2022-03-05,39,424,41.892099056603776,32.5,116.62,Saturday,2022-03,50.285714285714285,42.32634150634556
2022-03-06,35,436,76.59495412844036,55.11,218.85,Sunday,2022-03,54.0,45.23605497857405
2022-03-07,192,2112,53.97325757575758,30.5,94.48349999999999,Monday,2022-03,77.85714285714286,46.60359333198206
2022-03-08,221,2631,40.19487267198784,28.5,102.11,Tuesday,2022-03,107.0,47.19851782434308
2022-03-09,231,2514,37.50954653937948,26.0,109.9435,Wednesday,2022-03,133.0,46.62031621693586
2022-03-10,330,3279,51.187142421469964,33.02,125.09999999999991,Thursday,2022-03,162.57142857142858,47.7229867811863
2022-03-11,266,2595,41.79371483622351,31.5,109.29999999999973,Friday,2022-03,187.71428571428572,48.13248127541761
2022-03-12,96,816,30.62628676470588,18.439999999999998,96.35,Saturday,2022-03,195.85714285714286,47.266687983100674
2022-03-13,47,385,61.97088311688312,35.5,162.27,Sunday,2022-03,197.57142857142858,46.72675988122019
2022-03-14,269,2853,45.625625657202946,34.5,120.36800000000002,Monday,2022-03,208.57142857142858,47.88485219006803
2022-03-15,333,3454,44.14157788071801,31.5,105.10199999999999,Tuesday,2022-03,224.57142857142858,46.79550989996242
2022-03-16,267,2900,47.26215517241379,33.5,125.0,Wednesday,2022-03,229.71428571428572,47.688951949388624
2022-03-17,264,2666,44.131642910727685,29.6,131.0,Thursday,2022-03,220.28571428571428,47.73008867061493
2022-03-18,263,2696,46.40735163204748,31.5,126.0,Friday,2022-03,219.85714285714286,47.379365026040105
2022-03-19,107,950,49.732252631578945,39.0,117.38249999999972,Saturday,2022-03,221.42857142857142,47.93937599568119
2022-03-20,54,500,40.31274,31.61,98.5,Sunday,2022-03,222.42857142857142,45.34778927222116
2022-03-21,255,2545,41.68467976424361,28.79,111.39999999999986,Monday,2022-03,220.42857142857142,44.47003371425587
2022-03-22,251,2759,40.34385284523378,27.5,113.0,Tuesday,2022-03,208.71428571428572,44.480675155202015
2022-03-23,338,3882,45.38518289541474,33.5,101.47499999999991,Wednesday,2022-03,218.85714285714286,45.04322060920453
2022-03-24,249,2639,40.7741947707465,28.5,108.61299999999996,Thursday,2022-03,216.71428571428572,44.29943863415286
2022-03-25,270,2885,44.592204506065855,33.0,102.11,Friday,2022-03,217.71428571428572,44.49933075342731
2022-03-26,116,1096,43.94924270072993,29.25,92.625,Saturday,2022-03,219.0,45.45097046314332
2022-03-27,70,546,33.96168498168498,24.0,87.0,Sunday,2022-03,221.28571428571428,43.45031345348631
2022-03-28,252,2671,38.76815424934482,28.5,90.0,Monday,2022-03,220.85714285714286,42.960494067210725
2022-03-29,413,4330,48.35430946882217,32.5,117.62,Tuesday,2022-03,244.0,43.26140346636102
2022-03-30,411,4164,43.53707012487992,33.5,109.0,Wednesday,2022-03,254.42857142857142,42.995325962965744
2022-03-31,349,3690,46.38341463414634,31.5,116.5,Thursday,2022-03,268.7142857142857,43.156166800352786
2022-04-01,264,2662,42.46225770097671,31.06,111.97549999999991,Friday,2022-04,267.85714285714283,42.87437437670487
2022-04-02,119,1146,42.75173647469459,31.925,105.875,Saturday,2022-04,268.2857142857143,42.37576607978457
2022-04-03,94,837,52.07069295101553,26.5,202.45599999999945,Sunday,2022-04,271.7142857142857,43.21561986199997
