feature,value,row_count,row_pct
CreateDayOfWeekName,quinta,382791,19.1416
CreateDayOfWeekName,quarta,377129,18.8585
CreateDayOfWeekName,sexta,366710,18.3375
CreateDayOfWeekName,terca,330588,16.5312
CreateDayOfWeekName,segunda,326118,16.3077
CreateDayOfWeekName,sabado,197945,9.8983
CreateDayOfWeekName,domingo,18501,0.9252
CreateDayPeriod,tarde,790723,39.5405
CreateDayPeriod,manha,608982,30.4524
CreateDayPeriod,noite,556807,27.8434
CreateDayPeriod,madrugada,43270,2.1637
CreateHour,9,230228,11.5127
CreateHour,10,186193,9.3107
CreateHour,18,175703,8.7861
CreateHour,19,164691,8.2354
CreateHour,17,145340,7.2678
CreateHour,14,138474,6.9245
CreateHour,16,138301,6.9158
CreateHour,15,129950,6.4982
CreateHour,13,128887,6.4451
CreateHour,11,115485,5.7749
CreateHour,12,109771,5.4891
CreateHour,20,100702,5.0356
CreateHour,8,70425,3.5216
CreateHour,21,57509,2.8758
CreateHour,22,36185,1.8094
CreateHour,23,22017,1.101
CreateHour,0,16726,0.8364
CreateHour,1,11308,0.5655
CreateHour,2,6907,0.3454
CreateHour,7,5457,0.2729
CreateHour,3,4678,0.2339
CreateHour,4,2411,0.1206
CreateHour,5,1240,0.062
CreateHour,6,1194,0.0597
CreateIsHolidayBR,False,1993712,99.6965
CreateIsHolidayBR,True,6070,0.3035
CreateMonth,10,620221,31.0144
CreateMonth,9,595732,29.7898
CreateMonth,8,320671,16.0353
CreateMonth,5,108548,5.428
CreateMonth,4,80330,4.0169
CreateMonth,11,72764,3.6386
CreateMonth,3,65612,3.281
CreateMonth,2,44973,2.2489
CreateMonth,6,42287,2.1146
CreateMonth,12,24559,1.2281
CreateMonth,1,24085,1.2044
CreateQuarter,3,916403,45.8251
CreateQuarter,4,717544,35.8811
CreateQuarter,2,231165,11.5595
CreateQuarter,1,134670,6.7342
ScheduleDayOfWeekName,quinta,382791,19.1416
ScheduleDayOfWeekName,quarta,377129,18.8585
ScheduleDayOfWeekName,sexta,366710,18.3375
ScheduleDayOfWeekName,terca,330588,16.5312
ScheduleDayOfWeekName,segunda,326118,16.3077
ScheduleDayOfWeekName,sabado,197945,9.8983
ScheduleDayOfWeekName,domingo,18501,0.9252
ScheduleDayPeriod,tarde,790759,39.5423
ScheduleDayPeriod,manha,609003,30.4535
ScheduleDayPeriod,noite,556750,27.8405
ScheduleDayPeriod,madrugada,43270,2.1637
ScheduleHour,9,230249,11.5137
ScheduleHour,10,186174,9.3097
ScheduleHour,18,175672,8.7846
ScheduleHour,19,164777,8.2397
ScheduleHour,17,145376,7.2696
ScheduleHour,14,138459,6.9237
ScheduleHour,16,138274,6.9145
ScheduleHour,15,129977,6.4996
ScheduleHour,13,128898,6.4456
ScheduleHour,11,115485,5.7749
ScheduleHour,12,109775,5.4893
ScheduleHour,20,100604,5.0307
ScheduleHour,8,70438,3.5223
ScheduleHour,21,57549,2.8778
ScheduleHour,22,36149,1.8076
ScheduleHour,23,21999,1.1001
ScheduleHour,0,16737,0.8369
ScheduleHour,1,11297,0.5649
ScheduleHour,2,6907,0.3454
ScheduleHour,7,5463,0.2732
ScheduleHour,3,4678,0.2339
