metric,value
rows_processed,1999782.0
rows_written,1999782.0
chunks_written,640.0
rows_on_disk,1999782.0
canonical_source_rows,552393.0
canonical_unique_ride_ids,235830.0
canonical_duplicate_rows_collapsed,326.0
rides_with_all_three_canonical_prices,118333.0
UberX_rows,235734.0
UberX_unique_rides,235601.0
UberX_duplicates_collapsed,133.0
Price_UberX_ride_coverage_pct,99.9029
Comfort_rows,192982.0
Comfort_unique_rides,192876.0
Comfort_duplicates_collapsed,106.0
Price_Comfort_ride_coverage_pct,81.786
Black_rows,123677.0
Black_unique_rides,123590.0
Black_duplicates_collapsed,87.0
Price_Black_ride_coverage_pct,52.4064
user_history_ride_rows_scanned,1999782.0
user_history_unique_rides,239205.0
user_history_unique_users,3699.0
user_history_duplicate_ride_rows_collapsed,1760577.0
user_history_rides_with_valid_paid_price,233945.0
user_history_rows_with_prior_paid_mean,235447.0
user_history_cold_start_rides,3699.0
user_history_prior_ride_count_p50,79.0
user_history_prior_ride_count_p90,240.0
user_history_prior_ride_count_p99,508.0
user_category_history_rows_scanned,1999782.0
user_category_history_unique_ride_category_pairs,1105468.0
user_category_history_duplicate_rows_collapsed,894314.0
user_category_history_rows_with_prior_category_mean,1083938.0
user_category_history_cold_start_pairs,21530.0
user_category_history_prior_count_p50,66.0
user_category_history_prior_count_p90,220.0
user_category_history_prior_count_p99,436.0
partition_count,8.0
partition_1_rows,51352.0
partition_2_rows,710046.0
partition_4_rows,124981.0
partition_5_rows,439155.0
partition_6_rows,28122.0
partition_8_rows,36641.0
partition_9_rows,274144.0
partition_10_rows,335341.0
prior_ride_rows,1966685.0
prior_ride_rows_pct,98.345
prior_paid_mean_rows,1966259.0
prior_paid_mean_rows_pct,98.3237
prior_category_rows,1963409.0
prior_category_rows_pct,98.1812
prior_category_mean_rows,1963409.0
prior_category_mean_rows_pct,98.1812
