month,active_days,total_unique_rides,avg_unique_rides,avg_estimative_rows,avg_mean_price,median_mean_price
2021-08,15,40944,2729.6,21382.6,42.471128953276384,37.27307656176609
2021-09,30,76603,2553.4333333333334,19860.633333333335,41.71015472122908,38.0575220567228
2021-10,31,75669,2440.935483870968,20008.870967741936,37.450369857068665,37.286499371168055
2021-11,30,8925,297.5,2425.6666666666665,41.907912114975225,42.14123428449233
2021-12,31,2977,96.03225806451613,792.2258064516129,54.3336818043127,48.39730352303523
2022-01,31,2578,83.16129032258064,776.9354838709677,38.27206334743809,35.645648854961834
2022-02,28,4350,155.35714285714286,1606.2857142857142,41.68971540779343,38.93195594860566
2022-03,31,6267,202.16129032258064,2116.516129032258,45.48740780095971,44.131642910727685
2022-04,30,7455,248.5,2677.6666666666665,49.65110507785561,46.89541810706721
2022-05,31,9591,309.38709677419354,3501.548387096774,47.51712432187134,46.61706503916925
2022-06,14,3911,279.35714285714283,3020.5,49.351658719863295,50.114752375764354
